,Method,Slice,Violation_gap
0,Optimal ILP,Critical Slice,0.0
1,Optimal ILP,Performance Slice,0.0
2,Optimal ILP,Business Slice,0.0
3,BestCQI,Critical Slice,100.0
4,BestCQI,Performance Slice,100.0
5,BestCQI,Business Slice,100.0
6,NVS,Critical Slice,0.0
7,NVS,Performance Slice,63.55040491909121
8,NVS,Business Slice,62.889874554292
9,Proposed_HSRS,Critical Slice,0.0
10,Proposed_HSRS,Performance Slice,0.0
11,Proposed_HSRS,Business Slice,0.0
12,ADSS,Critical Slice,0.0
13,ADSS,Performance Slice,72.16220296848
14,ADSS,Business Slice,46.12335158056
15,Optimal ILP,Critical Slice,0.0
16,Optimal ILP,Performance Slice,0.02108289200798404
17,Optimal ILP,Business Slice,11.007379952607998
18,BestCQI,Critical Slice,100.0
19,BestCQI,Performance Slice,100.0
20,BestCQI,Business Slice,100.0
21,NVS,Critical Slice,0.0
22,NVS,Performance Slice,62.3031361546432
23,NVS,Business Slice,71.08318861679199
24,Proposed_HSRS,Critical Slice,0.0
25,Proposed_HSRS,Performance Slice,0.0
26,Proposed_HSRS,Business Slice,80.69414202496
27,ADSS,Critical Slice,0.0
28,ADSS,Performance Slice,69.8623747919488
29,ADSS,Business Slice,48.77591404443999
30,Optimal ILP,Critical Slice,0.0
31,Optimal ILP,Performance Slice,0.06437490483353132
32,Optimal ILP,Business Slice,9.17583672416799
33,BestCQI,Critical Slice,100.0
34,BestCQI,Performance Slice,100.0
35,BestCQI,Business Slice,80.59996216626399
36,NVS,Critical Slice,0.0
37,NVS,Performance Slice,72.74463805131519
38,NVS,Business Slice,74.426757736648
39,Proposed_HSRS,Critical Slice,0.0
40,Proposed_HSRS,Performance Slice,0.0
41,Proposed_HSRS,Business Slice,90.234901537216
42,ADSS,Critical Slice,0.0
43,ADSS,Performance Slice,72.165024971104
44,ADSS,Business Slice,71.68248433887999
45,Optimal ILP,Critical Slice,0.0
46,Optimal ILP,Performance Slice,0.0
47,Optimal ILP,Business Slice,23.459256148864004
48,BestCQI,Critical Slice,100.0
49,BestCQI,Performance Slice,100.0
50,BestCQI,Business Slice,100.0
51,NVS,Critical Slice,0.0
52,NVS,Performance Slice,64.53975430420479
53,NVS,Business Slice,74.79430694998001
54,Proposed_HSRS,Critical Slice,0.0
55,Proposed_HSRS,Performance Slice,0.0
56,Proposed_HSRS,Business Slice,95.59787471103999
57,ADSS,Critical Slice,0.0
58,ADSS,Performance Slice,63.690934165504
59,ADSS,Business Slice,69.04403117776
60,Optimal ILP,Critical Slice,0.0
61,Optimal ILP,Performance Slice,0.0
62,Optimal ILP,Business Slice,16.444731598183992
63,BestCQI,Critical Slice,100.0
64,BestCQI,Performance Slice,100.0
65,BestCQI,Business Slice,89.1075625
66,NVS,Critical Slice,3.67999935786667
67,NVS,Performance Slice,73.46195870087679
68,NVS,Business Slice,79.845463221652
69,Proposed_HSRS,Critical Slice,0.0
70,Proposed_HSRS,Performance Slice,65.460249971104
71,Proposed_HSRS,Business Slice,88.799977973296
72,ADSS,Critical Slice,0.0
73,ADSS,Performance Slice,88.85641554553601
74,ADSS,Business Slice,75.36503132224
75,Optimal ILP,Critical Slice,0.0
76,Optimal ILP,Performance Slice,0.0
77,Optimal ILP,Business Slice,18.189757460704
78,BestCQI,Critical Slice,100.0
79,BestCQI,Performance Slice,100.0
80,BestCQI,Business Slice,100.0
81,NVS,Critical Slice,0.0
82,NVS,Performance Slice,63.7247968331008
83,NVS,Business Slice,78.430292873032
84,Proposed_HSRS,Critical Slice,0.0
85,Proposed_HSRS,Performance Slice,0.0
86,Proposed_HSRS,Business Slice,99.507582801664
87,ADSS,Critical Slice,0.0
88,ADSS,Performance Slice,93.0469
89,ADSS,Business Slice,54.327953016639995
90,Optimal ILP,Critical Slice,0.0
91,Optimal ILP,Performance Slice,0.02108289200798404
92,Optimal ILP,Business Slice,10.535323792907999
93,BestCQI,Critical Slice,100.0
94,BestCQI,Performance Slice,100.0
95,BestCQI,Business Slice,83.905788707092
96,NVS,Critical Slice,56.284450255466666
97,NVS,Performance Slice,69.0304861662016
98,NVS,Business Slice,78.196782718588
99,Proposed_HSRS,Critical Slice,0.0
100,Proposed_HSRS,Performance Slice,51.192849826624
101,Proposed_HSRS,Business Slice,66.85801872592
102,ADSS,Critical Slice,100.0
103,ADSS,Performance Slice,80.27086075328799
104,ADSS,Business Slice,75.67825933888001
105,Optimal ILP,Critical Slice,0.0
106,Optimal ILP,Performance Slice,0.0
107,Optimal ILP,Business Slice,20.538213928856003
108,BestCQI,Critical Slice,100.0
109,BestCQI,Performance Slice,92.289025024768
110,BestCQI,Business Slice,86.14283011875999
111,NVS,Critical Slice,0.0
112,NVS,Performance Slice,67.7606424075328
113,NVS,Business Slice,80.499080039296
114,Proposed_HSRS,Critical Slice,0.0
115,Proposed_HSRS,Performance Slice,0.0
116,Proposed_HSRS,Business Slice,68.756199913312
117,ADSS,Critical Slice,0.0
118,ADSS,Performance Slice,70.103645128288
119,ADSS,Business Slice,74.0274625
120,Optimal ILP,Critical Slice,0.0
121,Optimal ILP,Performance Slice,0.0
122,Optimal ILP,Business Slice,20.62493783373599
123,BestCQI,Critical Slice,100.0
124,BestCQI,Performance Slice,100.0
125,BestCQI,Business Slice,91.377760962784
126,NVS,Critical Slice,0.0
127,NVS,Performance Slice,67.6680848670784
128,NVS,Business Slice,78.068740182904
129,Proposed_HSRS,Critical Slice,0.0
130,Proposed_HSRS,Performance Slice,0.0
131,Proposed_HSRS,Business Slice,62.83872782881599
132,ADSS,Critical Slice,0.0
133,ADSS,Performance Slice,65.78194344659201
134,ADSS,Business Slice,76.229935861648
135,Optimal ILP,Critical Slice,0.0
136,Optimal ILP,Performance Slice,0.0
137,Optimal ILP,Business Slice,6.451815415504
138,BestCQI,Critical Slice,100.0
139,BestCQI,Performance Slice,100.0
140,BestCQI,Business Slice,100.0
141,NVS,Critical Slice,0.0
142,NVS,Performance Slice,66.27859366042239
143,NVS,Business Slice,83.523424536232
144,Proposed_HSRS,Critical Slice,0.0
145,Proposed_HSRS,Performance Slice,0.0
146,Proposed_HSRS,Business Slice,85.705792082752
147,ADSS,Critical Slice,0.0
148,ADSS,Performance Slice,79.95057801664001
149,ADSS,Business Slice,83.48262497110399
150,Optimal ILP,Critical Slice,0.0
151,Optimal ILP,Performance Slice,0.0
152,Optimal ILP,Business Slice,1.2013153938320011
153,BestCQI,Critical Slice,100.0
154,BestCQI,Performance Slice,100.0
155,BestCQI,Business Slice,92.64760468749999
156,NVS,Critical Slice,0.0
157,NVS,Performance Slice,64.5854686084096
158,NVS,Business Slice,83.650056156088
159,Proposed_HSRS,Critical Slice,0.0
160,Proposed_HSRS,Performance Slice,0.0
161,Proposed_HSRS,Business Slice,80.25322398577599
162,ADSS,Critical Slice,0.0
163,ADSS,Performance Slice,71.673313138576
164,ADSS,Business Slice,62.514917815240004
165,Optimal ILP,Critical Slice,0.0
166,Optimal ILP,Performance Slice,0.0
167,Optimal ILP,Business Slice,5.7879694174719996
168,BestCQI,Critical Slice,100.0
169,BestCQI,Performance Slice,92.157445
170,BestCQI,Business Slice,91.685698071256
171,NVS,Critical Slice,0.0
172,NVS,Performance Slice,66.8802173901952
